Token,Symbol
,Nifty Bank
,Nifty 50
7,AARTIIND
13,ABB
17903,ABBOTINDIA
21614,ABCAPITAL
30108,ABFRL
22,ACC
25,ADANIENT
15083,ADANIPORTS
11703,ALKEM
1270,AMBUJACEM
157,APOLLOHOSP
163,APOLLOTYRE
212,ASHOKLEY
236,ASIANPAINT
14418,ASTRAL
263,ATUL
21238,AUBANK
275,AUROPHARMA
5900,AXISBANK
16669,BAJAJ-AUTO
16675,BAJAJFINSV
317,BAJFINANCE
335,BALKRISIND
341,BALRAMCHIN
2263,BANDHANBNK
4668,BANKBARODA
371,BATAINDIA
383,BEL
404,BERGEPAINT
422,BHARATFORG
10604,BHARTIARTL
438,BHEL
11373,BIOCON
2181,BOSCHLTD
526,BPCL
547,BRITANNIA
6994,BSOFT
10794,CANBK
583,CANFINHOME
637,CHAMBLFERT
685,CHOLAFIN
694,CIPLA
20374,COALINDIA
11543,COFORGE
15141,COLPAL
4749,CONCOR
739,COROMANDEL
17094,CROMPTON
5701,CUB
1901,CUMMINSIND
772,DABUR
8075,DALBHARAT
19943,DEEPAKNTR
10940,DIVISLAB
21690,DIXON
14732,DLF
881,DRREDDY
910,EICHERMOT
958,ESCORTS
676,EXIDEIND
1023,FEDERALBNK
4717,GAIL
7406,GLENMARK
13528,GMRINFRA
1174,GNFC
10099,GODREJCP
17875,GODREJPROP
11872,GRANULES
1232,GRASIM
10599,GUJGASLTD
2303,HAL
9819,HAVELLS
7229,HCLTECH
4244,HDFCAMC
1333,HDFCBANK
467,HDFCLIFE
1348,HEROMOTOCO
1363,HINDALCO
17939,HINDCOPPER
1406,HINDPETRO
1394,HINDUNILVR
4963,ICICIBANK
21770,ICICIGI
18652,ICICIPRULI
14366,IDEA
11957,IDFC
11184,IDFCFIRSTB
220,IEX
11262,IGL
1512,INDHOTEL
1515,INDIACEM
10726,INDIAMART
11195,INDIGO
5258,INDUSINDBK
29135,INDUSTOWER
1594,INFY
1624,IOC
1633,IPCALAB
13611,IRCTC
1660,ITC
6733,JINDALSTEL
13270,JKCEMENT
11723,JSWSTEEL
18096,JUBLFOOD
1922,KOTAKBANK
11654,LALPATHLAB
19234,LAURUSLABS
1997,LICHSGFIN
11483,LT
24948,LTF
17818,LTIM
18564,LTTS
10440,LUPIN
2031,M&M
20050,M&MFIN
19061,MANAPPURAM
4067,MARICO
10999,MARUTI
31181,MCX
9581,METROPOLIS
2142,MFSL
17534,MGL
4204,MOTHERSON
4503,MPHASIS
2277,MRF
23650,MUTHOOTFIN
6364,NATIONALUM
13751,NAUKRI
14672,NAVINFLUOR
17963,NESTLEIND
15332,NMDC
11630,NTPC
20242,OBEROIRLTY
10738,OFSS
2475,ONGC
14413,PAGEIND
2412,PEL
18365,PERSISTENT
11351,PETRONET
14299,PFC
2664,PIDILITIND
24184,PIIND
10666,PNB
9590,POLYCAB
14977,POWERGRID
13147,PVRINOX
2043,RAMCOCEM
18391,RBLBANK
15355,RECLTD
2885,RELIANCE
2963,SAIL
17971,SBICARD
21808,SBILIFE
3045,SBIN
3103,SHREECEM
4306,SHRIRAMFIN
3150,SIEMENS
3273,SRF
3351,SUNPHARMA
13404,SUNTV
10243,SYNGENE
3405,TATACHEM
3721,TATACOMM
3432,TATACONSUM
3456,TATAMOTORS
3426,TATAPOWER
11536,TCS
13538,TECHM
3506,TITAN
3518,TORNTPHARM
1964,TRENT
8479,TVSMOTOR
16713,UBL
11532,ULTRACEMCO
10447,UNITDSPR
11287,UPL
3063,VEDL
3718,VOLTAS
3787,WIPRO
3812,ZEEL
7929,ZYDUSLIFE